# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
0	0	0	0	971.41	1.5708	0
1	0.493055	12.1244	0	971.41	1.5708	0
2	2.31621	6.06218	10.5	971.41	1.5708	0
3	0	-6.06218	10.5	971.41	1.5708	0
4	0	-12.1244	1.48481e-15	971.41	1.5708	0
5	0	-6.06218	-10.5	971.41	1.5708	0
6	0.343992	6.06218	-10.5	971.41	1.5708	0
7	4.60949	30.6531	10.6185	970.8	1.23732	0.037625
8	0	42.7698	10.6159	970.369	1.23732	0.037625
9	0	36.7091	21.1164	970.455	1.23732	0.037625
10	0.12613	24.5924	21.1191	970.886	1.23732	0.037625
11	3.50871	18.5364	10.6212	971.231	1.23732	0.037625
12	0	24.597	0.120666	971.144	1.23732	0.037625
13	0.401323	36.7137	0.118012	970.713	1.23732	0.037625
14	0	6.13062	31.8556	970.8	0.190126	0.037625
15	0	18.2547	31.854	970.713	0.190126	0.037625
16	1.07784	12.1913	42.3477	970.369	0.190126	0.037625
17	0	0.0672148	42.3493	970.455	0.190126	0.037625
18	3.60044	-5.99343	31.8572	970.886	0.190126	0.037625
19	0	0.0699729	21.3636	971.231	0.190126	0.037625
20	0.619185	12.194	21.362	971.144	0.190126	0.037625
21	2.78633	-24.5225	21.2371	970.8	-0.857072	0.037625
22	0.894378	-12.403	21.2413	971.144	-0.857072	0.037625
23	0	-18.4591	31.736	970.713	-0.857072	0.037625
24	0	-30.5785	31.7318	970.369	-0.857072	0.037625
25	2.35061	-36.6419	21.2328	970.455	-0.857072	0.037625
26	0	-30.5859	10.7381	970.886	-0.857072	0.037625
27	4.21963	-18.4664	10.7424	971.231	-0.857072	0.037625
28	2.54554	-30.6531	-10.6185	970.8	4.37892	0.037625
29	1.21544	-18.5364	-10.6212	971.231	4.37892	0.037625
30	0	-24.597	-0.120666	971.144	4.37892	0.037625
31	2.45381	-36.7137	-0.118012	970.713	4.37892	0.037625
32	0	-42.7698	-10.6159	970.369	4.37892	0.037625
33	0	-36.7091	-21.1164	970.455	4.37892	0.037625
34	0	-24.5924	-21.1191	970.886	4.37892	0.037625
35	0	-6.13062	-31.8556	970.8	3.33172	0.037625
36	6.14598	5.99343	-31.8572	970.886	3.33172	0.037625
37	8.54246	-0.0699729	-21.3636	971.231	3.33172	0.037625
38	0	-12.194	-21.362	971.144	3.33172	0.037625
39	0	-18.2547	-31.854	970.713	3.33172	0.037625
40	3.91004	-12.1913	-42.3477	970.369	3.33172	0.037625
41	1.2269	-0.0672148	-42.3493	970.455	3.33172	0.037625
42	0	24.5225	-21.2371	970.8	2.28452	0.037625
43	0	36.6419	-21.2328	970.455	2.28452	0.037625
44	4.24256	30.5859	-10.7381	970.886	2.28452	0.037625
45	0	18.4664	-10.7424	971.231	2.28452	0.037625
46	5.84786	12.403	-21.2413	971.144	2.28452	0.037625
47	4.13937	18.4591	-31.736	970.713	2.28452	0.037625
48	3.89857	30.5785	-31.7318	970.369	2.28452	0.037625
49	0	55.1489	-10.6134	969.579	1.76092	0.0651678
50	9.11578	67.2485	-10.6086	968.804	1.76092	0.0651678
51	9.3107	61.2028	-0.111823	969.321	1.76092	0.0651678
52	0.653584	49.1033	-0.116599	970.096	1.76092	0.0651678
53	0	43.0494	-10.6182	970.355	1.76092	0.0651678
54	0.687983	49.095	-21.115	969.838	1.76092	0.0651678
