# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
92	0	-43.0494	10.6182	970.355	-1.38067	0.0651678
93	0	-49.095	21.115	969.838	-1.38067	0.0651678
94	0	-61.1946	21.1102	969.063	-1.38067	0.0651678
95	0	-67.2485	10.6086	968.804	-1.38067	0.0651678
96	0	-61.2028	0.111823	969.321	-1.38067	0.0651678
97	1.5365	-49.1033	0.116599	970.096	-1.38067	0.0651678
98	0	-61.2615	-21.2216	968.97	4.37892	0.0752485
99	0	-49.1677	-21.2322	969.831	4.37892	0.0752485
100	0	-55.2238	-10.7301	969.659	4.37892	0.0752485
101	0	-67.3175	-10.7195	968.797	4.37892	0.0752485
102	2.70607	-73.3552	-21.211	968.108	4.37892	0.0752485
103	0	-67.2991	-31.7131	968.281	4.37892	0.0752485
104	1.04344	-55.2054	-31.7237	969.142	4.37892	0.0752485
105	0	-36.7659	-42.4537	969.579	3.85532	0.0651678
106	1.59383	-24.6526	-42.4664	970.096	3.85532	0.0651678
107	7.46462	-30.7203	-31.9728	970.355	3.85532	0.0651678
108	3.06152	-42.8336	-31.96	969.838	3.85532	0.0651678
109	0	-48.8793	-42.4409	969.063	3.85532	0.0651678
110	0	-42.8116	-52.9346	968.804	3.85532	0.0651678
111	0	-30.6983	-52.9473	969.321	3.85532	0.0651678
112	3.26792	-12.2523	-63.6648	968.97	3.33172	0.0752485
113	0	-0.129164	-63.6712	969.142	3.33172	0.0752485
114	0	-6.19624	-53.1966	969.831	3.33172	0.0752485
115	0	-18.3194	-53.1903	969.659	3.33172	0.0752485
116	0	-24.3754	-63.6584	968.797	3.33172	0.0752485
117	0	-18.3083	-74.133	968.108	3.33172	0.0752485
118	0	-6.18522	-74.1393	968.281	3.33172	0.0752485
119	0	18.383	-53.0671	969.579	2.80812	0.0651678
120	0	30.5046	-53.0591	969.321	2.80812	0.0651678
121	0	24.4507	-42.583	970.096	2.80812	0.0651678
122	0	12.3291	-42.591	970.355	2.80812	0.0651678
123	0	6.26138	-53.075	969.838	2.80812	0.0651678
124	2.00662	12.3153	-63.5512	969.063	2.80812	0.0651678
125	6.43264	24.4369	-63.5432	968.804	2.80812	0.0651678
126	2.57994	49.0092	-42.4432	968.97	2.28452	0.0752485
127	0	61.1139	-42.4262	968.281	2.28452	0.0752485
128	0	55.0763	-31.9474	969.142	2.28452	0.0752485
129	2.60287	42.9715	-31.9644	969.831	2.28452	0.0752485
130	0	36.9044	-42.4602	969.659	2.28452	0.0752485
131	0.756781	42.9421	-52.9389	968.797	2.28452	0.0752485
132	0.814113	55.0468	-52.922	968.108	2.28452	0.0752485
133	0	79.5833	-31.8082	967.141	1.95103	0.0995433
134	0.493055	91.6559	-31.7875	966.022	1.95103	0.0995433
135	0	85.6375	-21.305	966.969	1.95103	0.0995433
136	0	73.5649	-21.3257	968.088	1.95103	0.0995433
137	5.11401	67.5107	-31.8289	968.26	1.95103	0.0995433
138	0.298126	73.529	-42.3114	967.313	1.95103	0.0995433
139	0	85.6017	-42.2907	966.194	1.95103	0.0995433
